,y_intvl_openness_2,y_intvl_conscientiousness_2,y_intvl_extroversion_2,y_intvl_agreeableness_2,y_intvl_neuroticism_2,y_scie,y_math,y_sport,y_ent,y_hist,y_geo,y_arch,y_pctl_extroversion,y_pctl_neuroticism,y_pctl_agreeableness,y_pctl_conscientiousness,y_pctl_openness,y_intvl_openness,y_intvl_conscientiousness,y_intvl_extroversion,y_intvl_agreeableness,y_intvl_neuroticism,alfa_norm,beta_norm,scie_norm,math_norm,sport_norm,ent_norm,hist_norm,geo_norm,arch_norm,do_question_norm,do_question_single_norm,do_question_group_norm,collect_norm,total_answers_norm,total_categories_norm,age,sex,alfa,beta,scie,math,sport,ent,hist,geo,arch,do_question,do_question_single,do_question_group,collect,total_answers,total_categories,wet1,wet2,ges3,wis1,spo1,wis4,spo2,spo3,aar3,wis2,wis3,ent1,ent2,spo4,arc2,wet3,wet4,spo6,ges1,aar4,ent3,arc1,arc3,aar1,aar2,ges2,wet5
y_intvl_openness_2,1.0,0.07,0.24,0.21,-0.04,0.18,0.12,-0.19,-0.16,0.13,0.26,0.26,0.31,-0.01,0.32,0.18,0.85,0.97,0.16,0.24,0.27,0.02,0.3,0.14,0.07,0.17,-0.02,-0.06,0.3,0.11,0.27,0.13,0.02,0.21,0.08,0.23,0.09,0.11,-0.0,0.3,0.14,0.07,0.17,-0.02,-0.06,0.3,0.11,0.27,0.13,0.02,0.21,0.08,0.23,0.09,0.08,-0.04,0.28,0.11,0.03,0.14,-0.05,-0.02,0.13,0.1,0.14,-0.15,-0.08,0.1,0.04,-0.05,0.17,-0.08,0.26,-0.01,0.18,0.11,0.29,-0.03,0.17,0.08,0.07
y_intvl_conscientiousness_2,0.07,1.0,-0.19,0.06,-0.01,0.03,-0.06,-0.22,-0.2,-0.03,-0.1,-0.0,-0.13,0.0,0.13,0.84,0.19,0.13,0.9,-0.19,0.05,0.01,0.04,0.01,-0.03,0.03,-0.03,0.06,0.05,0.06,0.04,-0.08,-0.04,-0.08,0.03,0.08,0.02,0.22,-0.11,0.04,0.01,-0.03,0.03,-0.03,0.06,0.05,0.06,0.04,-0.08,-0.04,-0.08,0.03,0.08,0.02,0.13,0.09,0.12,0.12,0.02,-0.09,-0.06,-0.08,-0.03,0.08,0.01,0.05,0.03,0.32,-0.1,-0.05,-0.27,0.08,0.09,-0.05,0.07,-0.01,0.11,0.03,0.15,-0.08,0.08
y_intvl_extroversion_2,0.24,-0.19,1.0,0.49,0.14,-0.06,-0.06,0.16,0.22,-0.02,0.07,0.12,0.86,0.1,0.49,-0.07,0.19,0.21,-0.11,0.91,0.47,0.11,-0.03,-0.04,-0.05,-0.02,0.17,-0.05,-0.06,0.06,-0.02,0.21,0.05,0.29,-0.04,0.01,-0.01,-0.12,0.01,-0.03,-0.04,-0.05,-0.02,0.17,-0.05,-0.06,0.06,-0.02,0.21,0.05,0.29,-0.04,0.01,-0.01,-0.17,-0.25,-0.07,-0.05,0.1,-0.07,0.16,0.19,0.12,-0.1,0.13,-0.1,0.04,-0.02,0.02,-0.01,0.22,-0.12,-0.0,0.11,-0.07,0.05,-0.1,-0.09,0.07,-0.01,-0.01
y_intvl_agreeableness_2,0.21,0.06,0.49,1.0,-0.03,0.07,-0.28,-0.1,0.11,0.03,0.03,0.2,0.5,-0.05,0.78,0.16,0.29,0.23,0.11,0.48,0.84,-0.06,0.05,0.02,-0.02,0.04,0.1,0.12,0.05,0.16,0.06,0.11,-0.01,0.18,0.03,0.13,0.11,0.19,-0.1,0.05,0.02,-0.02,0.04,0.1,0.12,0.05,0.16,0.06,0.11,-0.01,0.18,0.03,0.13,0.11,-0.03,-0.07,0.03,-0.07,0.04,-0.06,0.01,0.03,0.13,0.02,0.21,0.04,0.18,0.3,-0.02,-0.01,0.03,0.16,0.04,0.16,0.03,-0.01,0.18,-0.03,0.17,-0.06,0.02
y_intvl_neuroticism_2,-0.04,-0.01,0.14,-0.03,1.0,0.01,-0.02,0.09,0.14,-0.01,-0.02,0.13,0.11,0.87,-0.05,0.0,-0.12,-0.08,-0.0,0.07,-0.02,0.94,0.1,-0.01,-0.02,0.01,0.02,-0.15,0.06,-0.05,0.08,0.14,0.11,0.09,0.02,-0.01,0.09,0.09,0.27,0.1,-0.01,-0.02,0.01,0.02,-0.15,0.06,-0.05,0.08,0.14,0.11,0.09,0.02,-0.01,0.09,-0.12,-0.14,0.04,-0.08,-0.06,0.11,0.08,0.14,-0.01,-0.19,0.11,-0.16,0.01,-0.15,0.01,0.1,0.11,-0.17,0.11,-0.03,-0.24,0.16,-0.06,-0.09,-0.03,0.11,0.01
y_scie,0.18,0.03,-0.06,0.07,0.01,1.0,0.31,0.03,-0.17,0.1,0.1,0.1,-0.04,0.06,-0.02,-0.05,0.25,0.17,-0.05,-0.04,0.01,0.02,0.17,0.4,0.36,0.33,0.07,-0.15,0.19,0.07,0.06,-0.02,0.03,-0.02,0.21,0.25,0.08,-0.05,0.21,0.17,0.4,0.36,0.33,0.07,-0.15,0.19,0.07,0.06,-0.02,0.03,-0.02,0.21,0.25,0.08,0.23,0.2,0.34,0.27,0.17,0.3,-0.16,-0.03,-0.1,0.23,0.15,-0.17,0.01,0.09,0.06,0.16,0.2,0.05,-0.03,0.13,-0.2,0.02,0.13,0.03,-0.11,0.07,0.26
y_math,0.12,-0.06,-0.06,-0.28,-0.02,0.31,1.0,0.16,-0.24,-0.08,-0.09,-0.14,-0.11,-0.01,-0.3,-0.05,-0.02,0.1,-0.01,-0.09,-0.35,0.02,0.12,0.42,0.21,0.51,0.09,-0.17,0.16,-0.08,0.05,0.02,0.04,0.01,0.03,0.19,0.08,-0.04,0.28,0.12,0.42,0.21,0.51,0.09,-0.17,0.16,-0.08,0.05,0.02,0.04,0.01,0.03,0.19,0.08,0.14,0.13,0.19,0.57,0.13,0.34,-0.01,0.09,-0.03,0.43,0.23,-0.1,-0.18,-0.18,0.14,0.19,0.08,-0.16,0.01,-0.04,-0.1,-0.04,0.04,-0.09,-0.11,0.12,0.04
y_sport,-0.19,-0.22,0.16,-0.1,0.09,0.03,0.16,1.0,0.22,-0.08,-0.1,-0.21,0.19,0.08,-0.11,-0.17,-0.3,-0.25,-0.17,0.14,-0.08,0.06,-0.14,-0.02,0.05,-0.07,0.5,0.08,-0.12,-0.0,-0.17,0.21,0.2,0.16,0.07,0.05,-0.01,-0.29,0.16,-0.14,-0.02,0.05,-0.07,0.5,0.08,-0.12,-0.0,-0.17,0.21,0.2,0.16,0.07,0.05,-0.01,-0.03,0.04,-0.18,-0.05,0.23,0.01,0.51,0.29,0.07,-0.04,-0.14,0.0,0.13,0.01,0.18,-0.0,0.23,0.08,-0.21,0.06,0.01,-0.11,-0.29,0.19,-0.27,0.17,-0.07
y_ent,-0.16,-0.2,0.22,0.11,0.14,-0.17,-0.24,0.22,1.0,0.02,-0.05,0.01,0.16,0.14,0.04,-0.12,-0.2,-0.22,-0.18,0.18,0.06,0.17,-0.01,-0.16,-0.06,-0.2,0.18,0.25,-0.07,0.04,0.05,0.26,0.3,0.12,-0.16,0.02,0.27,-0.08,0.06,-0.01,-0.16,-0.06,-0.2,0.18,0.25,-0.07,0.04,0.05,0.26,0.3,0.12,-0.16,0.02,0.27,-0.05,-0.04,-0.16,-0.14,-0.05,-0.09,0.34,0.13,0.02,-0.32,-0.09,0.11,0.35,-0.14,0.03,0.13,0.04,0.02,0.09,0.11,0.05,0.15,-0.15,0.11,0.08,-0.04,-0.23
y_hist,0.13,-0.03,-0.02,0.03,-0.01,0.1,-0.08,-0.08,0.02,1.0,0.36,0.26,0.03,0.12,0.02,-0.04,0.25,0.18,-0.08,0.03,-0.03,0.04,0.32,-0.0,0.04,-0.05,-0.16,0.11,0.4,0.29,0.2,-0.02,-0.11,0.09,0.17,0.15,0.15,0.18,0.26,0.32,-0.0,0.04,-0.05,-0.16,0.11,0.4,0.29,0.2,-0.02,-0.11,0.09,0.17,0.15,0.15,-0.08,0.04,0.32,-0.08,0.01,-0.05,-0.2,-0.34,0.17,0.04,-0.05,-0.1,0.19,-0.13,0.16,0.06,0.07,-0.05,0.34,0.24,0.2,-0.09,0.14,0.03,0.29,0.28,0.05
